ais,1,n,"A; A sharp; A flat; A double sharp; A double flat"
aisis,1,n,"A; A sharp; A flat; A double sharp; A double flat"
ases,1,n,"A; A sharp; A flat; A double sharp; A double flat"
aal,1,n,"Eel; Jellied Eel"
aale,1,,"eels"
aachener,1,adj,"Aachen; the Aachen Cathedral"
aachener,1,n,"Aachen resident"
aalen,1,n,"Aalenian"
aalenium,1,n,"Aalenian"
aalfang,1,n,"eel fishing"
aalhaut,1,n,"eelskin"
aalpass,1,n,"eel ladder"
aalpässe,1,,"eel ladders"
aalreuse,1,n,"eel trap"
aalsuppe,1,n,"eel soup"
älchen,1,,"eelworms"
aas,1,n,"carrion"
aas,1,n,"flesh; scrapings"
aasgeier,1,n,"vulture"
aasgeier,1,,"vultures"
aasjäger,1,n,"pothunter; carrion hunter"
aaskäfer,1,n,"burying beetle; sexton beetle"
aaskäfer,1,,"burying beetles; sexton beetles"
aaskrähe,1,n,"carrion crow"
käckern,1,v,"do a poo; poo"
abaka,1,n,"abacá; Manila fibre; Manila fiber"
abachi,1,n,"abachi; obeche; samba; ayous"
samba,1,n,"abachi; obeche; samba; ayous"
ayous,1,n,"abachi; obeche; samba; ayous"
änderung,1,n,"modification; I've made one or two modifications to the original design."
abandon,1,n,"abandonment"
abart,1,n,"variation; variant"
variante,1,n,"variation; variant; They come in all shapes and sizes."
abarten,1,,"variations; variants"
abbau,1,n,"breakdown; decomposition; degradation; photochemical breakdown/degradation; photodegradation; bacterial decomposition"
abbau,1,n,"dismounting"
abbau,1,n,"decay"
abbau,1,n,"depletion; the depletion of the ozone layer; ozone depletion"
abbau,1,n,"dismantlement; dismantling; dismantlement of a stand at a fair"
abbauen,1,n,"dismantlement; dismantling"
zerlegen,1,n,"dismantlement; dismantling"
abbau,1,n,"retrenchment"
rückbau,1,n,"retrenchment"
abbau,1,n,"mining; winning extraction; winning; extracting; extraction; recovery; exploitation; exploitation of resources; full-seam extraction; level free workings; open stope with pillar; uranium mining; mining with filling; hydraulic mining; auger mining; stowing exploitation; underground stoping; patching"
tagebau,1,n,"quarrying"
abbau,1,n,"decay; ramp-down"
dämpfung,1,n,"decay; ramp-down"
abbauweg,1,n,"degradative pathway"
vorgriff,1,n,"buttock; lift"
abbe,1,n,"abbe"
abbeizen,1,n,"pickling; stripping"
abbiegen,1,n,"turning; turning-off; turn-off"
abbieger,1,n,"turning vehicle"
abbieger,1,,"turning vehicles"
abbild,1,n,"image"
abbilder,1,,"images"
abbinden,1,n,"ligation; ligature; ligation of blood vessels; tubal ligation"
ligatur,1,n,"ligation; ligature"
abbinden,1,n,"setting"
abbitte,1,n,"apology; ask sb.'s pardon"
abblende,1,n,"fade-out"
abbrand,1,n,"loss of contact material"
abbrand,1,n,"black ends black butts"
abbrand,1,n,"residue; residuum"
aufbruch,1,n,"decampment"
abhalten,1,n,"dissuasion"
abbruch,1,n,"breaking-off; abortion; abort; discontinuance"
abbruch,1,n,"demolition; demolishment; pulling down; tearing down; razing; demo"
abriss,1,n,"demolition; demolishment; pulling down; tearing down; razing; demo"
abbruch,1,n,"break-off; stop; stopping"
abbruch,1,n,"taking down"
abbruch,1,n,"termination"
abbruch,1,n,"broken-down bank; subsidence of shore"
abbruch,1,n,"abandonment"
schräge,1,n,"slope; talus"
böschung,1,n,"slope; talus"
abdampf,1,n,"exhaust steam"
abdecker,1,n,"renderer; knacker"
schinder,1,n,"renderer; knacker"
kappe,1,n,"cover cap; cap"
kappen,1,,"cover caps; caps"
rückwand,1,n,"rear cover; rear panel; backplate"
abdrehen,1,n,"turning"
abdruck,1,n,"copy; print; offprint"
abdrucke,1,,"copies; prints; offprints"
abdruck,1,n,"moulding; molding"
guss,1,n,"moulding; molding"
abguss,1,n,"moulding; molding"
abdruck,1,n,"imprint"
eindruck,1,n,"imprint"
gepräge,1,n,"imprint"
abdrücke,1,,"imprints"
abdruck,1,n,"impression; take an impression"
prägung,1,n,"impression"
abduktor,1,n,"abductor"
abelit,1,n,"abelite"
abend,1,n,"evening; eve; eventide"
abende,1,,"evenings"
abend,1,n,"night; weekday night; weeknight; on weekday nights; on weeknights"
dämmer,1,n,"dusk; evening twilight; twilight; gloaming; at dusk; at nightfall"
ausklang,1,n,"sere and yellow leaf"
znacht,1,n,"supper; evening meal"
kasse,1,n,"evening box office; box office"
kassa,1,n,"evening box office; box office"
kassen,1,,"evening box offices; box offices"
kassa,1,,"evening box offices; box offices"
okzident,1,n,"occident; Western World"
westen,1,n,"occident; Western World"
abendrot,1,n,"sunset glow; red sunset"
eskapade,1,n,"adventure; escapade; exploit"
aber,1,n,"but"
entzug,1,n,"deprivation; deprival; denial; disallowance; disallowing"
entzüge,1,,"deprivations; deprivals; denials; disallowances; disallowings"
abessiv,1,n,"abessive case; abessive"
abfärben,1,n,"set-off; blotting"
abliegen,1,n,"set-off; blotting"
abfahrt,1,n,"departure; train departure; two hours before departure/prior to departure; be ready to depart"
abflug,1,n,"departure; two hours before departure/prior to departure"
abflüge,1,,"departures"
abfahrt,1,n,"exit"
abfall,1,n,"refuse; rubbish; garbage; trash"
müll,1,n,"refuse; rubbish; garbage; trash; take out/take down the rubbish/garbage"
mist,1,n,"refuse; rubbish; garbage; trash"
kehricht,1,n,"refuse; rubbish; garbage; trash"
güsel,1,n,"refuse; rubbish; garbage; trash"
abfall,1,n,"waste; machinery waste; human waste"
müll,1,n,"waste"
abfälle,1,,"waste; waste and scrap"
abfall,1,n,"litter"
abfälle,1,,"litter; marine litter"
abfall,1,n,"wastage"
abfall,1,n,"dross"
unrat,1,n,"dross"
