LCSC,MPN,Ref,Qty,Package,Mid X,Mid Y,Rotation,Value,Footprint
C528638,AFE4300PNR,U2,1,,,,,AFE,
C190794,NRF52840-QIAA-R,U1,1,,,,,MCU,
C7465513,ETA9741E8A,U3,1,,,,,PMIC,
C110926,LIS2DH12TR,U4,1,,,,,ACC,
C84374,"PESD5V0S1BL,315",D1-D4,4,,,,,ESD,
C32346,Q13FC13500004 32MHz,Y1,1,,,,,XTAL 32M,
C12674,32.768kHz,Y2,1,,,,,XTAL 32k,
C5832372,FTC252012S2R2MBCA 2.2uH,L1,1,,,,,IND,
C1002,GZ1608D601TF,FB1,1,,,,,FERRITE,
C165948,TYPE-C-31-M-12,J1,1,,,,,USB-C,
C318884,TL3342,SW1,1,,,,,SW,
C307331,100nF 50V 0402,"C1-C4, C9-C15 etc",11,,,,,CAP 100n,
C15195,10nF 50V 0402,C14-15 etc,6,,,,,CAP 10n,
C23733,4.7uF 10V 0402,C,5,,,,,CAP 4.7u,
C15525,10uF 6.3V 0402,C,3,,,,,CAP 10u,
C59461,22uF 10V 0603,C26-C27,2,,,,,CAP 22u,
C12530,2.2uF 10V 0402,C,1,,,,,CAP 2.2u,
C52923,1uF 16V 0402,C,2,,,,,CAP 1u,
C11702,1k 1% 0402,R,6,,,,,RES 1k,
C22978,3.3k 1% 0603,R7-R10,4,,,,,RES 3.3k,
C25900,4.7k 0402,R11-R12,2,,,,,RES 4.7k,
C25905,5.1k 0402,R13-R14,2,,,,,RES 5.1k,
C25744,10k 0402,R15-R20,6,,,,,RES 10k,
C26083,1M 0402,R21-R22,2,,,,,RES 1M,
C4109,2k 0402,R23,1,,,,,RES 2k ISET,
C852624,1k 0.1% 0402,R2,1,,,,,RES 1k 0.1%,
